Ticker,Latest Close,RSI,SMA20,SMA50,SMA200,52W High,52W Low,Volatility,Avg Volume,Rel Performance,Uptrend,Downtrend,Wedge,Trendline Support,Triangle Asc,Channel Up,Channel Down,Double Bottom,Multiple Bottom,Head and Shoulders
BBMD,2140.0,55.81395348837209,2133.0,1978.8,1972.1,2190.0,1705.0,55.342831038608686,1355.0,-0.6781954887218045,No,No,No,Yes,No,Yes,No,Yes,No,No
BBNI,4520.0,71.62162162162161,4219.5,4242.0,4821.5,5825.0,3720.0,38.234043799509145,83990110.0,-0.3203007518796992,No,No,No,No,No,No,No,No,No,No
BBRI,4240.0,79.06976744186046,3895.0,3804.2,4397.75,5525.0,3360.0,47.845694961149846,216343055.0,-0.36240601503759395,No,No,No,No,No,No,No,No,No,No
BBRM,76.0,46.15384615384615,76.6,76.92,78.575,95.0,50.0,1.1920791211587485,566820.0,-0.9885714285714285,No,No,Yes,No,Yes,No,Yes,No,Yes,No
BBSI,4020.0,66.66666666666666,3986.0,4008.0,4150.5,4680.0,3380.0,168.67517834427633,31090.0,-0.3954887218045112,No,No,No,No,No,No,No,Yes,No,No
BBSS,272.0,76.5625,217.5,210.88,190.34,272.0,101.0,19.913232839117658,3504375.0,-0.9590977443609022,No,No,No,Yes,Yes,Yes,No,No,No,No
BBTN,1265.0,81.08108108108108,1093.5,951.3,1194.6,1535.0,770.0,22.56423579122011,54375955.0,-0.8097744360902256,No,No,No,Yes,No,Yes,No,No,No,No
BBYB,264.0,61.29032258064516,249.55,205.98,238.165,318.0,156.0,8.875009266097504,71166260.0,-0.9603007518796992,No,No,Yes,Yes,Yes,Yes,No,No,No,No
BCAP,70.0,54.0,68.85,57.68,65.01,132.0,23.0,3.349783967840223,319774960.0,-0.9894736842105263,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
BCIC,170.0,,170.0,170.0,157.24,222.0,88.0,0.0,0.0,-0.9744360902255639,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
BCIP,56.0,80.0,50.95,50.4,52.18,69.0,50.0,1.729009451629681,5210150.0,-0.991578947368421,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
BDKR,135.0,62.16216216216216,127.55,155.2,445.905,995.0,108.0,1.7851728501422677,14232260.0,-0.9796992481203007,No,No,Yes,No,Yes,No,Yes,No,No,No
BDMN,2460.0,63.63636363636363,2400.5,2399.2,2528.05,2740.0,2310.0,12.763022245603803,1463515.0,-0.6300751879699248,No,No,No,No,No,No,No,No,No,No
BEBS,5.0,,5.0,5.0,5.645,50.0,2.0,0.0,0.0,-0.9992481203007518,No,No,Yes,No,Yes,No,No,Yes,Yes,No
BEEF,272.0,58.46153846153846,258.4,196.82,155.01554817199707,286.0,116.0,12.057319244677071,22055280.0,-0.9590977443609022,No,No,No,Yes,Yes,Yes,No,No,No,No
BEER,76.0,62.7906976744186,68.8,83.68,156.795,276.0,64.0,6.643358377051849,10832735.0,-0.9885714285714285,No,No,Yes,No,Yes,No,Yes,No,Yes,No
BEKS,26.0,37.5,26.5,24.44,27.45,47.0,19.0,0.8645047256509835,13791710.0,-0.9960902255639098,No,No,Yes,No,Yes,No,No,No,No,No
BELI,404.0,35.294117647058826,411.2,422.4,444.2,474.0,404.0,2.2100250057281023,1405410.0,-0.9392481203007519,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
BELL,53.0,50.0,53.1,54.3,59.82,85.0,36.0,1.9808291723788576,2183685.0,-0.9920300751879699,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
BESS,1490.0,85.56149732620321,1090.75,981.9,449.455,1490.0,147.0,95.01073346566702,533000.0,-0.7759398496240602,No,No,No,Yes,No,Yes,No,No,No,No
BEST,95.0,52.38095238095237,91.85,88.06,104.505,133.0,77.0,1.3168942728736928,7631150.0,-0.9857142857142858,No,No,Yes,No,Yes,No,No,No,No,No
BFIN,935.0,72.34042553191489,859.0,828.4,902.075,1090.0,700.0,13.42376133655195,11448545.0,-0.8593984962406015,No,No,No,Yes,No,Yes,No,No,No,No
BGTG,80.0,41.17647058823529,83.15,77.0,73.43,87.0,59.0,0.9733285265845969,6832290.0,-0.98796992481203,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
BHAT,615.0,89.79591836734694,556.05,523.86,486.26,615.0,318.0,12.947159818587904,2145030.0,-0.9075187969924812,No,No,No,Yes,Yes,Yes,No,No,No,No
BHIT,29.0,50.0,27.75,26.12,36.07,51.0,20.0,0.5501196038627248,7927270.0,-0.9956390977443609,No,No,Yes,No,Yes,No,No,Yes,No,No
BIKA,55.0,,55.0,55.0,55.0,60.0,50.0,0.0,0.0,-0.9917293233082707,No,No,Yes,No,Yes,No,No,Yes,Yes,No
BIKE,615.0,64.28571428571428,585.5,571.3,578.995,775.0,468.0,7.232055833480758,1005480.0,-0.9075187969924812,No,No,No,Yes,Yes,Yes,No,No,No,No
BIMA,46.0,75.0,41.15,57.82,85.395,122.0,35.0,1.2937094767116364,157485.0,-0.9930827067669173,No,No,Yes,No,Yes,No,Yes,No,No,No
BINA,4330.0,56.52173913043478,4317.5,4280.6,4145.2,4350.0,4000.0,29.890149759265032,87385.0,-0.3488721804511278,No,No,No,Yes,No,Yes,No,Yes,No,No
BINO,115.0,42.857142857142854,117.3,125.06,159.805,312.0,113.0,2.560324814844997,1246720.0,-0.9827067669172932,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
BIPI,82.0,51.85185185185185,81.4,79.9,75.69,93.0,59.0,1.6091841671562894,201703305.0,-0.9876691729323308,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
BIPP,35.0,55.0,34.8,32.28,31.245,46.0,20.0,1.2085223685976367,20970.0,-0.9947368421052631,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
BIRD,1960.0,92.13483146067415,1707.25,1577.9,1739.025,2120.0,1390.0,39.10512148447408,2727430.0,-0.7052631578947368,No,No,No,Yes,No,Yes,No,No,No,No
BISI,975.0,36.8421052631579,988.75,1015.5,1235.7,2010.0,935.0,11.652874052518621,258635.0,-0.8533834586466166,No,No,No,No,No,No,Yes,No,Yes,No
BJBR,880.0,31.707317073170742,878.25,825.0,928.55,1030.0,710.0,6.155870112481441,13484675.0,-0.8676691729323308,No,No,Yes,No,Yes,No,No,No,Yes,No
BJTM,550.0,73.33333333333333,524.5,497.66,542.04,595.0,454.0,4.973614591511288,18957800.0,-0.9172932330827068,No,No,Yes,Yes,Yes,Yes,No,No,No,No
BKSL,113.0,75.0,97.05,82.78,58.06,122.0,29.0,3.477748818090053,297964795.0,-0.9830075187969924,No,No,Yes,Yes,Yes,Yes,No,No,No,No
BKSW,63.0,57.692307692307686,59.0,55.2,63.57,93.0,50.0,2.4809802815645012,5989005.0,-0.9905263157894737,No,No,Yes,No,Yes,No,No,No,No,No
BLES,195.0,61.666666666666664,182.85,197.66,231.895,306.0,50.0,2.0925934550315066,4592150.0,-0.9706766917293234,No,No,Yes,No,Yes,No,Yes,No,No,No
BLTA,20.0,50.0,20.0,20.12,20.43,26.0,12.0,0.5982430412915531,1157235.0,-0.9969924812030075,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
BLUE,328.0,68.18181818181819,323.9,323.0,334.3,360.0,310.0,12.556818235928978,566665.0,-0.9506766917293233,No,No,Yes,No,Yes,No,No,Yes,No,No
BMAS,484.0,100.0,471.7,464.76,573.63,905.0,460.0,4.024922359450524,3300.0,-0.9272180451127819,No,No,Yes,No,Yes,No,No,No,No,No
BMBL,17.0,60.0,16.0,15.84,13.88,21.0,5.0,0.5026246895575646,5301660.0,-0.9974436090225564,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
BMHS,240.0,59.09090909090909,239.3,240.96,266.03,338.0,216.0,6.199320845624014,586955.0,-0.9639097744360903,No,No,Yes,No,Yes,No,Yes,Yes,No,No
BMRI,5500.0,75.64102564102564,4983.75,4858.2,6056.15,7450.0,4410.0,76.66742943937746,177283550.0,-0.17293233082706772,No,No,No,No,No,No,No,No,No,No
BMSR,252.0,26.66666666666667,262.8,280.2,315.51,376.0,248.0,7.927965160024265,227935.0,-0.9621052631578947,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
BMTR,151.0,61.53846153846153,140.9,140.26,190.25,250.0,122.0,3.634266739858338,36574400.0,-0.9772932330827068,No,No,Yes,No,Yes,No,No,Yes,No,No
BNBA,810.0,83.33333333333333,730.5,623.1,673.5,915.0,492.0,34.007545602327575,1500055.0,-0.8781954887218045,No,No,No,Yes,No,Yes,No,No,No,No
BNBR,31.0,39.99999999999999,32.0,31.48,36.27,56.0,20.0,0.604805318480504,4646095.0,-0.9953383458646616,No,No,Yes,No,Yes,No,Yes,Yes,No,No
BNGA,1810.0,67.44186046511628,1771.0,1710.9,1785.1,1995.0,1600.0,18.41588273316629,13214370.0,-0.7278195488721805,No,No,No,Yes,No,Yes,No,No,Yes,No
BNII,206.0,63.15789473684211,201.45,196.38,213.175,258.0,179.0,2.8996370008034926,1601400.0,-0.9690225563909775,No,No,Yes,No,Yes,No,No,Yes,No,No
BNLI,2210.0,58.66666666666667,2221.0,2328.2,1426.425,2580.0,870.0,41.32986686086206,509480.0,-0.6676691729323307,No,No,No,Yes,No,No,No,Yes,No,No
BOAT,115.0,50.0,114.35,113.86,901.775,2580.0,86.0,3.8030458706565713,12490710.0,-0.9827067669172932,No,No,Yes,No,Yes,No,No,No,Yes,No
BOBA,160.0,37.5,157.8,160.0,172.915,230.0,144.0,6.572670690030402,127765.0,-0.9759398496240601,No,No,Yes,No,Yes,No,No,Yes,No,No
BOGA,570.0,81.81818181818181,553.25,607.7,651.15,940.0,505.0,6.366028258583313,1297680.0,-0.9142857142857143,No,No,No,No,Yes,No,Yes,No,No,No
BOLT,1180.0,94.11764705882354,1131.5,1226.5,1167.75,1390.0,700.0,14.336189025995392,454720.0,-0.8225563909774436,No,No,Yes,Yes,Yes,No,No,No,No,No
BPFI,408.0,51.21951219512195,390.7,318.56,313.9,436.0,262.0,30.85637356322562,348625.0,-0.9386466165413534,No,No,No,Yes,No,Yes,No,No,No,No
BPTR,72.0,65.0,70.85,72.38,82.665,101.0,62.0,4.097496026085822,1336305.0,-0.989172932330827,No,No,Yes,No,Yes,No,Yes,No,No,No
BRAM,5825.0,50.0,5870.0,5853.5,5889.375,6875.0,5425.0,55.01196042201607,1150.0,-0.12406015037593987,No,No,No,No,No,No,Yes,No,No,No
BREN,6675.0,71.42857142857143,6106.25,5889.3,7690.075,11900.0,4250.0,145.29914695297867,23690165.0,0.003759398496240518,No,No,No,No,No,No,No,No,No,No
